driverId,week,hours-logged,miles-logged
96,39,60,900
72,10,61,0
26,6,75,2800
50,46,71,2100
75,13,53,2600
33,37,75,1500
22,24,71,1700
16,44,55,2400
49,37,55,1500
18,1,68,1300
28,16,62,3700
11,3,71,2800
107,7,75,1300
33,4,75,2700
34,16,54,2200
109,14,65,1100
79,48,63,3100
82,4,50,2800
78,8,63,3900
38,33,65,2500
78,1,63,800
97,9,73,2500
10,21,50,1600
88,26,52,1600
91,16,61,2400
97,1,66,2900
90,44,73,1200
17,49,67,2300
100,17,64,3800
98,46,80,500
44,46,65,3200
54,40,61,400
86,12,64,3100
60,6,53,3400
40,11,60,1300
47,14,50,1600
33,48,70,1600
16,34,76,2700
37,38,67,2300
97,27,78,3100
101,32,61,2600
31,30,76,2200
73,34,63,3700
16,28,60,1500
46,20,75,3500
90,31,55,800
26,46,52,600
103,19,52,700
70,19,68,500
32,31,58,1400
10,22,78,100
71,44,57,2900
108,22,70,4000
47,25,50,700
82,42,61,1600
57,7,74,2300
43,3,77,700
107,18,60,1300
41,37,80,900
101,37,56,0
75,6,71,3300
91,4,50,600
63,28,70,2500
39,30,79,500
96,1,77,3400
39,39,59,3000
85,30,55,2600
71,31,72,1000
11,29,77,3200
35,46,64,2900
32,12,58,2700
75,14,62,1600
57,45,70,3300
16,30,72,3900
27,33,75,2400
25,18,77,3200
22,40,66,2700
104,27,73,800
96,1,50,3200
46,20,50,4000
67,41,63,100
24,23,74,900
93,2,59,3900
12,40,52,2900
89,31,59,900
11,45,50,600
16,19,58,3000
69,34,57,100
84,13,71,2400
46,36,50,1100
79,3,65,300
83,11,60,3600
97,5,77,2300
79,44,55,2700
103,4,58,2100
67,31,71,2500
92,40,56,2900
53,21,58,2400
33,9,75,1400
103,41,72,800
92,47,53,0
88,39,59,2300
70,27,79,900
27,22,72,500
109,6,65,2000
78,7,70,3800
80,23,71,2000
79,17,77,2700
90,20,57,1100
94,38,53,100
60,1,61,2000
11,11,55,3500
103,2,65,1100
12,46,67,0
72,34,70,3200
38,48,54,3900
77,21,52,2000
69,46,77,1900
33,31,63,800
70,17,58,3300
19,47,60,2700
63,1,60,3100
71,12,74,2300
11,30,50,2600
17,15,55,0
22,10,65,3500
88,35,77,2900
98,44,77,2400
89,43,54,2700
73,27,80,900
30,12,52,3100
104,23,71,2300
103,48,74,200
71,27,70,1000
63,48,51,0
33,38,60,200
21,11,77,2100
66,1,67,1600
30,27,69,2600
48,2,67,1200
55,42,71,1600
92,27,50,900
99,44,68,3200
51,39,67,3700
61,44,75,3600
92,39,60,400
26,9,74,1600
44,46,67,3500
101,50,55,3500
10,20,57,700
78,5,70,600
32,31,67,3400
91,25,50,200
52,6,51,3000
96,38,50,1300
46,20,76,1900
36,4,69,2800
11,12,68,3300
18,51,75,700
68,27,52,1900
30,19,55,1000
56,23,52,2700
78,40,74,2000
59,41,62,1900
77,22,54,2900
104,17,65,400
71,20,51,1400
77,13,50,2200
42,2,61,3800
13,37,51,3900
91,28,60,3200
60,37,78,1700
86,16,78,2400
60,2,80,2900
78,48,54,2900
73,30,69,2700
96,18,51,600
104,45,57,900
12,31,77,2800
15,36,73,2100
76,23,70,1700
47,8,65,700
31,20,54,3400
78,31,77,3700
33,47,75,500
50,10,71,3600
26,40,78,600
99,52,59,3500
108,31,80,400
44,15,66,1200
31,15,54,1700
49,14,58,1900
26,38,51,1300
77,4,68,2600
19,35,65,900
56,39,76,2800
48,33,78,3900
81,50,57,800
108,11,72,1500
26,22,76,3700
23,24,79,2300
53,25,59,800
11,33,54,1900
60,11,62,1500
39,29,77,1400
62,10,65,3600
19,38,58,1200
26,52,76,1200
100,40,59,1300
25,5,53,900
99,12,74,1900
78,49,75,100
